,review,date,stars,location,en
715,Prah /praha také stojí za návštěvu=,před 6 lety,5 hvězdiček,Pálava,Prague /Prague is also worth a visit =
716,"Pro zahraniční turisty neobjevený region. Tak mlčte: stojí to za to. Krásná krajina se zvlněnými svahy plnými vinné révy, hradů a zřícenin. Ráj pro rekreační cyklisty se značenými trasami. Také četné turistické stezky.",před 2 lety,5 hvězdiček,Pálava,"For foreign tourists undiscovered region.So keep silent: It's worth it.Beautiful landscape with wavy slopes full of vines, castles and ruins.Paradise for recreational cyclists with marked routes.Also numerous hiking trails."
717,"Skvělý sushi set na lízání prstů od Jakuzy! Za prvé, můžete jíst do 23:00 a zbytek restaurací ve Wieluni zavírá kuchyně ve 21:30, což je ostudné! Majitel je skvělý člověk, s pozdravem! Více takových míst s takovou službou!",před 2 lety,5 hvězdiček,Pálava,"Great sushi set on finger licking from Jakuza!First, you can eat until 23:00 and the rest of the restaurants in Wieluna closes the kitchen at 21:30, which is shameful!The owner is a great person, best regards!More such places with such a service!"
718,"Nádherné starobylé město Mikulov! Bez kulis můžete natočit film o princích a princeznách. Musíte se ubytovat ve starých hotelech v centru. Ale pozor - po 17.00 se vaše večeře může změnit v zítřejší snídani... Výborná a levná možnost, jak strávit noc poblíž drahé Vídně.",před 4 lety,5 hvězdiček,Pálava,"Beautiful ancient city Mikulov!Without backdrops, you can make a film about princes and princesses.You have to stay in old hotels in the center.But beware - after 17.00 your dinner can turn into tomorrow's breakfast ... A great and cheap way to spend the night near expensive Vienna."
719,Krásné místo k odpočinku 👍😁 …,před 4 lety,4 hvězdičky,Pálava,Beautiful place to rest 👍…
720,"Krásná. Úžasná krajina. Moravu doporučuji zejména na podzim, kdy končí vinobraní a začínají četné akce. Sklizeň vinné révy je často příležitostí k návštěvě historických vinic a sklepů, vinobraní se koná druhý, třetí a čtvrtý víkend v září.",před 6 lety,5 hvězdiček,Pálava,"Beautiful.Amazing landscape.I recommend Moravia especially in autumn, when the vintage ends and numerous events begin.The harvest of vines is often an opportunity to visit historic vineyards and cellars, the second, third and fourth weekend in September."
721,Predprapozitri visadime duj trees of apfelsrtomku a nasajeme do Oltiho od Odaha sestri mojej fajnove Rozhlasovi pribeh o spanelskich mušickæcha misce Q234 a jejich kamaradovi zvanem 6tiprtak všesbernej..tesime se na Vasi nemalou ucast ;),před 6 lety,2 hvězdičky,Pálava,We will have a survivors of Apfelsrtomku and soak up to Olti from my sisters my fine radio on the spaniel Musickæch bowl Q234 and their friend called 6 -year -olds.
722,"Skutečný vrchol na cestě Čechami, který je vidět už z dálky. Téměř středomořská atmosféra. Krásné malé vesničky.",před 2 lety,5 hvězdiček,Pálava,"A real peak on the path of Bohemia, which is seen from a distance.Almost Mediterranean atmosphere.Beautiful small villages."
723,Naprosto nádherné místo.,před 3 lety,5 hvězdiček,Pálava,Absolutely beautiful place.
724,Vypadá to velmi cool,před 3 měsíci,5 hvězdiček,Pálava,It looks very cool
725,"Rozhodně stojí za návštěvu. Krásná krajina, skvělé památky, idylické vesničky, levné a dobré ubytování a pokud možno příjemní lidé. Duševní zotavení je tedy absolutně možné. 🙂 …",před rokem,5 hvězdiček,Pálava,"It is definitely worth a visit.Beautiful landscape, great monuments, idyllic villages, cheap and good accommodation and preferably pleasant people.Mental recovery is therefore absolutely possible.🙂…"
726,"Nádhera, jako malé české Toskánsko. Doporučuji relax v tomto místě, výborná turistická vybavenost, jak pro pěší, tak pro cyklisty. Skvělá kuchyně, přátelští lidé a blízko jižní hranice Polska.",před 5 lety,5 hvězdiček,Pálava,"Splendor, like a small Czech Tuscany.I recommend relaxing in this place, excellent tourist amenities, both for pedestrians and for cyclists.Great cuisine, friendly people and close to the southern border of Poland."
727,"Jedno z nejkrásnějších míst, kde jsem kdy byl. Možná nemá zrovna nejatraktivnější přírodní prostředí, ale hrady, upravené cesty, klidná typická města tvoří velmi příjemnou kombinaci. Je ideální pro vyjížďky na kole",před 4 lety,5 hvězdiček,Pálava,"One of the most beautiful places I have ever been.Perhaps it does not have the most attractive natural environment, but castles, groomed roads, quiet typical cities form a very pleasant combination.Is ideal for bike rides"
728,"Krásné místo zejména na jaře. Musíte jít a vylézt na kopec, ale výhledy jsou úžasné. Je možné navštívit zříceninu hradu... Pálava je chráněným přírodním parkem, takže můžete vidět spoustu různých druhů květin a zvířat... A co je nejdůležitější? Všude vinice a všude lahodné bílé víno!",před 5 lety,5 hvězdiček,Pálava,"Beautiful place especially in spring.You have to go and climb the hill, but the views are amazing.It is possible to visit the ruins of the castle ... Pálava is a protected natural park, so you can see a lot of different kinds of flowers and animals ... And most importantly?Everywhere vineyards and everywhere delicious white wine!"
729,Nádherné místo. Navštívit můžete místní vinné sklípky. Jsou zde krásné trasy pro zkušené cyklisty s ostrými stoupáními. Adrenalin a krásné výhledy poskytuje sjezd do Mikulova z města Klentnice. vřele doporučuji.,před 4 lety,5 hvězdiček,Pálava,Beautiful place.You can visit local wine cellars.There are beautiful routes for experienced cyclists with sharp climb.Adrenaline and beautiful views provide a descent to Mikulov from the town of Klentnice.I warmly recommend.
730,"Vše bylo skvělé, velmi milí lidé, jídlo bylo skvělé a chutné, mohu jen doporučit, díky za vše. Rádi se vrátíme.Pozdrav z ONI",před rokem,5 hvězdiček,Pálava,"Everything was great, very nice people, food was great and tasty, I can only recommend, thanks for everything.We will be happy to return."
731,"Místo s výhledem na vinice. Ale chuť vína PALAVA /pro mě/ je úžasná. Krásná nažloutlá barva, nádherná vůně, ne příliš intenzivní. A ta chuť!!!!! Preferuji Pálavu z pozdního sběru (polosuché). Každý má samozřejmě na víno svůj vkus, ale stojí za to ho vyzkoušet.",před 4 lety,5 hvězdiček,Pálava,"A place overlooking the vineyard.But the taste of Palava wine / for me / is amazing.Beautiful yellowish color, beautiful smell, not too intense.And the taste !!!!!I prefer Pálava from late collection (semi -dry).Of course, everyone has their taste for wine, but it's worth trying."
732,"Zajímavé místo, pěkný výhled. Drahý. Doby, kdy byla Česká republika levnou a chladnou zemí na utrácení peněz, jsou dávno pryč.",před 2 lety,4 hvězdičky,Pálava,"Interesting place, nice view.Expensive.The times when the Czech Republic was a cheap and cold country to spend money was long gone."
733,"Velmi pěkné místo k návštěvě. Za jeden víkend si užijete rybaření, aquapark, 15 km túru přes Pálavu (úchvatné výhledy, vápencové kopce a 2 zříceniny hradů v ceně) a samozřejmě... víno. Hodně. Všude. Lahodné.",před 6 lety,5 hvězdiček,Pálava,"Very nice place to visit.In one weekend you will enjoy fishing, aquapark, 15 km hike across Pálava (breathtaking views, limestone hills and 2 castle ruins included) and of course ... wine.Lots of.Everywhere.Delicated."
734,"Krásné krajiny. Vinice jedna na druhé... Pokud chcete fotit, nevíte, kde se zastavit – každý pohled je krásnější než ten předchozí. Vína jsou také výborná, i když u místních prodejců si musíte dávat pozor – některá tvoří nádherná díla. Jiní se bohužel zaměřují na kvantitu, nikoli na kvalitu. Naštěstí se vždy dá vyzkoušet to, na co je vinař pyšný...",před 4 lety,5 hvězdiček,Pálava,"Beautiful landscapes.Vineyards to each other ... If you want to take pictures, you don't know where to stop - every look is more beautiful than the previous one.Wines are also excellent, although you have to be careful for local retailers - some of them are beautiful works.Unfortunately, others focus on quantity, not quality.Fortunately, you can always try what the winemaker is proud ..."
735,"Není potřeba toto místo inzerovat. Krásné výhledy, nádherné cyklistické a pěší trasy, mnoho půvabných historických budov. A samozřejmě slavné víno z Pálavy... Na své si přijdou enoturisté. Ideální na víkendový útěk. Nejlépe před sezónou nebo těsně po ní. Pěkná, uvolněná atmosféra a diskrétní kouzlo bývalé císařské římské říše. provincie",před 7 lety,5 hvězdiček,Pálava,"There is no need to advertise this place.Beautiful views, beautiful cycling and pedestrian routes, many charming historic buildings.And of course the famous wine from Pálava ... Enoturists will come into their own.Ideal for a weekend escape.Preferably before or just after the season.Nice, relaxed atmosphere and discreet charm of the former imperial Roman Empire.province"
736,"Krásné město Mikulov s náměstíčkem a velkým zámkem. Pěkné oblasti pro cykloturistiku. pěkné hospody. Do jižní Evropy se vyplatí nejen letět, ale strávit tam i dva tři dny.",před 6 lety,5 hvězdiček,Pálava,"Beautiful city of Mikulov with square and large castle.Nice areas for cycling.Nice pubs.It is worth not only to fly to southern Europe, but to spend two or three days there."
737,"Chráněná krajinná oblast Pálava (česky Chráněná krajinná oblast Palava, zkratka CHKO Pálava) je chráněná krajinná oblast a biosférická rezervace UNESCO nacházející se na Moravě v České republice, na hranici s Rakouskem. Nejvyšším bodem je Děvín se svými 549 m nad mořem. Toto unikátní území bylo poprvé uznáno UNESCO v roce 1986 a v roce 2003 rozšířeno o další památku UNESCO, Lednicko-valtickou kulturní krajinu. V CHKO Pálava dominují pálavské vápencové vrchy (součást vnějších Západních Karpat) a obsahuje významný podíl přirozených nebo mírně narušených stepních ekosystémů, které zahrnují luční step, lesostep a teplomilné doubravy. V údolí řeky Taiya se střídají lesy s loukami a mokřady, jejichž součástí je i halofytní vegetace. Zbytek CHKO Pálava je zemědělsky využíván, s mnoha udržitelně pěstovanými vinicemi, které jsou součástí Mikulovské vinařské podoblasti. CHKO Pálava obsahuje zachovalé památky historického významu, jako je paleolit v Dolních Věstonicích, kde byla objevena Dolní Věstonice, keramická figurka Venuše z let 29 000–25 000 před naším letopočtem. Mikulov, město založené ve středověku, leží v nejjižnější části Pálavské ČKO a nachází se v něm historicky a architektonicky významné stavby, jako je zámek Mikulov.",před 4 lety,5 hvězdiček,Pálava,"The Pálava Protected Landscape Area (Palava Protected Landscape Area, the abbreviation of the Pálava PLA) is a protected landscape area and a UNESCO biosphere reserve located in Moravia in the Czech Republic, on the border with Austria.The highest point is Děvín with its 549 m above sea level.This unique territory was first recognized by UNESCO in 1986 and in 2003 extended by another UNESCO monument, the Lednice-Valtice cultural landscape.Pálava is dominated by Pálava limestone hills (part of the outer Western Carpathians) and contains a significant proportion of natural or slightly disturbed steppe ecosystems, which include meadow steppe, forest and thermophilic oak.In the valley of the Taiya River, forests with meadows and wetlands alternate, which include halofit vegetation.The rest of the Pálava PLA is agriculturally used, with many sustainably grown vineyards that are part of the Mikulov wine -growing sub -region.The Pálava PLA contains well -preserved monuments of historical significance, such as Paleolite in Dolní Věstonice, where Dolní Věstonice, the ceramic figure of Venus from 29,000–25,000 BC.Mikulov, a town founded in the Middle Ages, lies in the southernmost part of the Pálava ČKO and is located historically and architecturally important buildings, such as Mikulov Castle."
738,Nádherná oblast plná vinohradů a příjemných lidí.je to balzám na duši v této době,před 6 lety,5 hvězdiček,Pálava,A beautiful area full of vineyards and pleasant people. It is a balm on the soul at this time
739,"Doporučuji vše, co má rád hory a krásné moře",před 4 lety,5 hvězdiček,Pálava,I recommend everything he likes mountains and beautiful sea
740,Úžasná země,před 5 lety,5 hvězdiček,Pálava,Amazing country
741,Krásné prostředí ideální pro pohodové ježdění na motorce. Škoda že v žádné hospodě se nedá platit kartou. Když se zatulate jen tak do cích kde neplatí eura tak je to vcelku problém,před 5 lety,3 hvězdičky,Pálava,Beautiful environment ideal for relaxing motorcycle riding.Too bad that in any pub can not be paid by card.When you are just going to the advertisement where the euro does not pay so it is quite a problem
742,Super atmpsféra je třeba vidět popsat to nejde.,před 6 lety,4 hvězdičky,Pálava,Super atmosphere needs to be seen.
743,"Pěkná krajina, dobré víno, počasí je tu vždy trochu horké",před 5 lety,4 hvězdičky,Pálava,"Nice landscape, good wine, the weather is always a little hot"
744,Vím kam se vrátit. Do krásného prostředí bezpečných cyklo tras vedoucí vinohradnickým oblastem i velkou možností ochutnávky regionálních vin.,před 6 lety,5 hvězdiček,Pálava,I know where to go back.To the beautiful environment of safe cycling routes leading to the Vinohrady areas and a great possibility of tasting regional VIN.
745,Dac pravda 👍 😁 …,před 2 týdny,5 hvězdiček,Pálava,DAC Pravd 👍……
746,"Krásný kout České republiky. Malé pohoří z vápence, bohaté na skalní výchozy a mnoho malebných míst. V oblasti je značeno několik malebných turistických tras, které umožňují prozkoumat většinu zajímavostí této chráněné oblasti. Součástí chráněného území je i část řeky Dyje a komplex přehradních jezer Nové Mlýny.",před rokem,5 hvězdiček,Pálava,"Beautiful corner of the Czech Republic.Small limestone mountains, rich in rock outcrops and many picturesque places.Several picturesque hiking trails are marked in the area, allowing to explore most of the attractions of this protected area.Part of the protected area is also part of the Dyje River and the complex of dam lakes Nové Mlýny."
747,Dobré vínko i lidé...,před 7 lety,5 hvězdiček,Pálava,Good wine and people ...
748,"Jezdím tam již několik let a skály a zámek v Mikulově vždy udělají obrovský dojem. Doufám, že si někdy najdu čas se na to podívat zblízka.",před 4 lety,5 hvězdiček,Pálava,I have been going there for several years and the rocks and the chateau in Mikulov always make a huge impression.I hope to ever find time to look closely at it.
749,"Zajímavá krajina a les s vinnou révou a zříceninami hradů. Prošli jsme 12 km stezku, která byla dobře značená a oblíbená u místních. Některé skvělé výhledy z vysokých bodů. Trať byla většinou ve velmi dobrém stavu, ale na strmější části je potřeba trochu kondice.",před 6 lety,5 hvězdiček,Pálava,"Interesting landscape and forest with wine vine and castle ruins.We walked a 12 km trail, which was well marked and popular with the locals.Some great views from high points.The track was mostly in very good condition, but a steeper part is needed a little fitness."
750,"Pokud hledáte odpočinek a klid při procházkách, najdete ho zde. Pálava je perfektní místo na nedělní procházku, cestou můžete navštívit zříceniny dvou hradů a zdolat nejvyšší vrchol Pálavy.",před 6 lety,5 hvězdiček,Pálava,"If you are looking for rest and peace of mind, you will find it here.Pálava is a perfect place for a Sunday walk, on the way you can visit the ruins of two castles and conquer the highest peak of Pálava."
751,Krásné oblasti. Fantastické vinné sklepy,před 4 lety,4 hvězdičky,Pálava,Beautiful areas.Fantastic wine cellars
752,"Jedno z nejhezčích míst v České republice. Skály, jeskyně na Turoldu, zříceniny hradů, paláce na předměstí, tisíce sklepů v jiných. Stojí za to přijít. Jedno mínus: je velmi obtížné najít místo k pobytu.",před 6 lety,5 hvězdiček,Pálava,"One of the most beautiful places in the Czech Republic.Rocks, Caves on Turold, castle ruins, palaces in the suburbs, thousands of cellars in others.It's worth coming.One minus: It is very difficult to find a place to stay."
753,"Dobrá kuřecí prsa s lahodnou omáčkou. Můžete platit kreditní kartou. Dobré je i kuře s grilovanou zeleninou. Výběr z výčepních vín, bílé, růžové a červené. Doporučuji bílou",před 6 lety,5 hvězdiček,Pálava,"Good chicken breast with delicious sauce.You can pay by credit card.Chicken with grilled vegetables is also good.Selection of draft wines, white, pink and red.I recommend white"
754,"Čistě. Pohodlně. V blízkosti vstupu na turistické stezky. Ne v samém centru Trechowa, což znamená, že je tam klid. Velké hřiště pro děti a altán pro případnou venkovní večeři. Doporučuji.",před 5 lety,5 hvězdiček,Pálava,"Purely.Comfortably.Near the entrance to the hiking trail.Not in the very center of Trechow, which means there is peace.Large playground for children and gazebo for possible outdoor dinner.I recommend."
755,"Nejúžasnější místo na jinak rovinaté Moravě. Skvělé přírodní krásy a výhledy, skvělé víno. Pokud byste měli jet jen na jedno místo v této části Čech, jeďte tam.",před 7 lety,5 hvězdiček,Pálava,"The most amazing place in otherwise flat Moravia.Great natural beauty and views, great wine.If you should only go to one place in this part of Bohemia, go there."
756,OH wow. Stojí za to projít celou stezku.,před 2 lety,5 hvězdiček,Pálava,Oh wow.It is worth passing the whole trail.
757,"Nádhera.. krajina.. cyklostezky.. vinice.. ochutnávka vín z našich vlastních vinařství.. pohostinnost.. jistý odpočinek.. nebo se cestou zastavte, pokud jedete dál.. zdravíme cestovatele 😊😊👍👍👍 …",před 4 lety,5 hvězdiček,Pálava,Splendor .. Landscape .. Cycling.
758,Hezký výhled.,před 6 lety,4 hvězdičky,Pálava,Nice view.
759,"Vyborna kuchyně, příjemný personál, krásné prostředí na kopci a super ubytko.",před 6 lety,5 hvězdiček,Pálava,"Excellent kitchen, pleasant staff, beautiful environment on the hill and super accommodation."
760,stojí za to navštívit,před 6 lety,5 hvězdiček,Pálava,It is worth visiting
761,Velmi pěkně místo na procházky nebo běh :),před rokem,5 hvězdiček,Pálava,Very nice space for walks or running :)
762,"Pohodová atmosféra, krásná země",před 5 lety,5 hvězdiček,Pálava,"Relaxing atmosphere, beautiful land"
763,"Krásné místo s krásnou krajinou pro ty, kteří mají rádi ticho mezi kopci. Dobré trasy pro běžce. Ceny v obchodech jsou rozhodně přijatelné. Dobré místo k zastavení před pokračováním cesty, např. do Chorvatska.",před 4 lety,5 hvězdiček,Pálava,"Beautiful place with beautiful landscape for those who like silence between hills.Good routes for runners.Prices in shops are definitely acceptable.A good place to stop before continuing the journey, eg to Croatia."
764,"Krásný kraj. Vhodné pro pěší a cykloturistiku. Výborná bílá vína, vinné sklípky.",před 4 lety,5 hvězdiček,Pálava,"Krásný kraj.Suitable for pedestrians and cycling.Excellent white wines, wine cellars."
765,Neskutečný klid a laskavost sál z této země.,před 5 lety,5 hvězdiček,Pálava,Unbelievable peace and kindness of the hall from this country.
766,"Pokud máte rádi pěkné výhledy do prostranství, pak je pro vás Stolová Hora u Mikulova nebo Děvín u Pavlova tím pravým místem. Všechny turistické trasy jsou dobře značené.",před 7 lety,5 hvězdiček,Pálava,"If you like nice views of the area, then the table mountain near Mikulov or Děvín near Pavlov is the right place.All hiking trails are well marked."
767,"Málo Poláků, krásná krajina, skvělé sýry, skvělá vína (to druhé zřejmě proto, že takové nápoje nemám rád).",před 7 lety,5 hvězdiček,Pálava,"Few Poles, beautiful landscape, great cheeses, great wines (the other apparently because I do not like such drinks)."
768,"Velmi pěkné, spousta ptáků na dobré túry. Stovky plastových lahví jen na břehu jezera. Měli byste je prosím sbírat.",před 5 lety,4 hvězdičky,Pálava,"Very nice, lots of birds for good hikes.Hundreds of plastic bottles only on the shore of the lake.You should, please collect them."
769,Jen tudy procházím. Pěkné výhledy. Lákavé vinné sklepy s výhledem na jezera a údolí. Musím se domluvit na degustaci.,před 3 lety,4 hvězdičky,Pálava,I'm just going through this way.Nice views.Tempting wine cellars overlooking the lakes and valleys.I have to arrange a tasting.
770,"Mají zajímavá vína. Nejsou popsány in vivono, ale obvykle, když jsem tam, vidím lidi, jak berou každý 20 litrů.",před 5 lety,5 hvězdiček,Pálava,"They have interesting wines.They are not described in vivono, but usually when I am there, I see people taking every 20 liters."
771,"Hezký region stvořený pro kombinaci kola s vinem, obzvlášť v září, kdy je vinobraní.",před 4 lety,4 hvězdičky,Pálava,"Nice region created for a combination of bike with wine, especially in September, when it is vintage."
772,Krásné oblasti pro milovníky vína a cykloturistiky. Ideální místo k odpočinku na cestě do jižní Evropy. Doporučuji zůstat několik dní.,před 6 lety,5 hvězdiček,Pálava,Beautiful areas for lovers of wine and cycling.Ideal place to rest on the way to southern Europe.I recommend staying for several days.
773,Miluji jižní Moravu,před 4 lety,5 hvězdiček,Pálava,I love South Moravia
774,"Jedno z mých nejoblíbenějších míst v celé zemi! Nádherná panoramata, jedinečná příroda, historické dědictví a to vše uprostřed slavné vinařské oblasti! :)",před 7 lety,5 hvězdiček,Pálava,"One of my favorite places in the country!Beautiful panoramas, unique nature, historical heritage and all in the middle of the famous wine region!:)"
775,"Stojí za návštěvu kvůli krásné krajině, která je pro tuto část České republiky skutečně jedinečná a významná. Je obklopen řadou vinic s možností degustace.",před 7 lety,5 hvězdiček,Pálava,"It is worth a visit because of the beautiful landscape, which is truly unique and significant for this part of the Czech Republic.It is surrounded by a series of vineyards with the possibility of tasting."
776,"Všem mohu jen doporučit. Velmi pěkné sousedství. I když nevím, proč není kde rozdělávat oheň a proč je rozdělávání ohně zakázáno.",před 5 lety,5 hvězdiček,Pálava,I can only recommend everyone.Very nice neighborhood.Although I do not know why there is no place to distribute fire and why the fire distribution is forbidden.
777,"Zajímavé staré město s malými činžáky s velmi udržovanými zahradami, ze své zkušenosti jsem potkal jen milé a otevřené lidi.",před 7 lety,5 hvězdiček,Pálava,"Interesting old city with small apartment buildings with very well -kept gardens, from my experience I only met nice and open people."
778,"Krásné místo. Třeba vidět, zažít",před rokem,5 hvězdiček,Pálava,"Beautiful place.Maybe see, experience"
779,Chráněná oblast vinařský kraj.,před 8 měsíci,5 hvězdiček,Pálava,Protected area Wine Region.
780,"zasvěcený tip na jižní Moravě. Nádherná turistická trasa z Mikulova na Pálavu. Na trase kvetou hořce a lesy pokrývá skřivan obecný. Cestu křižují vzácní brouci, jako je brouk olejný.Výhled na vinice je úchvatný.",před 5 lety,5 hvězdiček,Pálava,"Introduced tip in South Moravia.Beautiful hiking trail from Mikulov to Pálava.On the route they bloom bitter and forests are covered by a lark.Rare beetles, such as the oil beetle, cross the path. The view of the vineyard is breathtaking."
781,"Fantastická lokalita s historickou reminiscencí sahající až do doby kamenné a mamutů. Vynikající místní bílé víno, krásná scenérie s panoramatickými výhledy. Ideální pro rodinné výlety. Známá pro Věstonickou Venuši.",před 5 lety,5 hvězdiček,Pálava,"Fantastic location with historical reminiscence dating back to stone and mammoth times.Excellent local white wine, beautiful scenery with panoramic views.Ideal for family trips.Known for Venus Venus."
782,"Při jízdě do Vídně mě okouzlilo městečko Mikołów. Rád bych jel na víkend. Na Českou republiku mám hezké vzpomínky i přes pokání, které jsem si vydělal za jízdy 😉 …",před 6 lety,4 hvězdičky,Pálava,"When driving to Vienna, I was enchanted by Mikołów.I'd like to go for a weekend.I have nice memories of the Czech Republic despite the repentance I earned while driving 😉…"
783,"Pěkné místo pro lehkou turistiku a cykloturistiku. Lehký terén. Bohaté scenérie, mnoho vinic v okolí. Na výletě můžete ochutnat víno. Historická místa v dosahu.",před 7 lety,5 hvězdiček,Pálava,"Nice place for light hiking and cycling.Light terrain.Rich scenery, many vineyards in the area.On the trip you can taste wine.Historical places within reach."
784,Hezky...,před 7 lety,5 hvězdiček,Pálava,Pretty...
785,"Krásná krajina, čistá, velmi milí lidé, ""sklipky"" s dobrým vínem.",před 6 lety,5 hvězdiček,Pálava,"Beautiful landscape, clean, very nice people, ""harvesters"" with good wine."
786,Krásná turistická oblast!,před 6 lety,5 hvězdiček,Pálava,Beautiful tourist area!
787,Nadhera,před 5 lety,5 hvězdiček,Pálava,Splendor
788,"Mikulov - opravdu úžasné místo k návštěvě. Pěkné procházky, dobré víno. co ještě potřebuješ?",před 6 lety,5 hvězdiček,Pálava,"Mikulov - A really amazing place to visit.Nice walks, good wine.What else do you need?"
789,Hezký kraj na nenáročné vycházky spojené s dobrým lokálním vínem,před 6 lety,4 hvězdičky,Pálava,Nice region on undemanding walks associated with good local wine
790,Velmi malebná oblast. Stojí za to vzít kolo a prozkoumat okolní města. Vydejte se na nedaleké kopce se zříceninou hradu a popíjejte dobré místní víno,před 7 lety,4 hvězdičky,Pálava,Very picturesque area.It is worth taking a bike and exploring the surrounding towns.Go to the nearby hills with the castle ruins and drink a good local wine
791,"Všechno super. Lidé,čisto,krásné místo",před 6 lety,5 hvězdiček,Pálava,"Everything great.People, clean, beautiful place"
792,Parada luxus úžasná země,před 6 lety,4 hvězdičky,Pálava,Parada luxury amazing land
793,Moc pěkné na procházku!,před 5 lety,5 hvězdiček,Pálava,Very nice for a walk!
794,"Město Mikulov je velmi pěkné. Na hradě jsem nebyl, ale uličky kolem jsou okouzlující.",před 6 lety,4 hvězdičky,Pálava,"The city of Mikulov is very nice.I wasn't at the castle, but the streets around are charming."
795,"Skvělá (vinná) oblast. Dobré možnosti ubytování. Vynikající místní vína k ochutnání a nákupu. Chůze, jízda na kole. Navštivte také Mikulov.",před 4 lety,5 hvězdiček,Pálava,"Great (wine) area.Good accommodation options.Excellent local wines to taste and buy.Walking, cycling.Also visit Mikulov."
796,"Srdeční záležitost, velmi řada se do Pavlova vračím, skvělé vino, nalada i atmosféra:-)",před 5 lety,5 hvězdiček,Pálava,"Cordial affair, I will go back to Pavlov, great wine, tune and atmosphere :-)"
797,Tady je opravdu krásná příroda. Vydáte se na cestu z vinic a vyšplháte se ke zřícenině staré pevnosti a uvidíte krásný výhled z vrcholu.,před 5 lety,5 hvězdiček,Pálava,Here is really beautiful nature.You set out on the road from the vineyards and climb to the ruins of the old fortress and see a beautiful view from the top.
798,Krásný kraj. Je toho hodně k návštěvě a k vidění. Spousta tras pro pěší turistiku. Pěkné místo na výlet s dětmi včetně menších.,před 4 lety,5 hvězdiček,Pálava,Krásný kraj.There's a lot to visit and see.Lots of hiking trails.Nice place for trip with children including smaller.
799,"Ráj pro turistiku a cykloturistiku, každý si najde to své. Nadherné vyhlady, pestrá příroda a ticho. Určitě se sem vrátím",před 7 lety,5 hvězdiček,Pálava,"Paradise for hiking and cycling, everyone will find it.Overpowered, colorful nature and silence.I will definitely come back here"
800,Ohromné ptačí voliéry jinak velmi zajímavé. Na tak velké ploše by zvířata neměla mít větší výběhy,před 6 lety,3 hvězdičky,Pálava,"Huge bird aviaries otherwise very interesting.On such a large area, animals should not have larger runs"
801,"Infrastruktura není příliš dobrá. Vezměte si kolo a projeďte se tam. Přineste si jídlo a vodu. Místo je pěkné a k vidění, ale služby jsou trochu špatné.",před 6 lety,3 hvězdičky,Pálava,"Infrastructure is not very good.Take your bike and take a ride there.Bring food and water.The place is nice and you can see, but the services are a bit bad."
802,Nádherný park s nádhernou přírodou Česká hranice s Rakouskem,před rokem,5 hvězdiček,Pálava,Beautiful park with beautiful nature Czech border with Austria
803,"Klidné parkování, dá se stát na pauzu, jedno mínus atd., není WC.",před 3 lety,3 hvězdičky,Pálava,"Quiet parking, you can stand for a break, one minus, etc., not a toilet."
804,"Kouzelné město, klidné.. kde si člověk odpočine..a to víno 😍 …",před 4 lety,5 hvězdiček,Pálava,"Magic city, quiet .. where you can relax."
805,"Skvělé místo k odpočinku. Nabízí zajímavou oblast, čisté a teplé moře a liduprázdné pobřeží.",před 2 lety,5 hvězdiček,Pálava,"Great place to rest.It offers an interesting area, clean and warm sea and deserted coast."
806,Prostě taková krásná příroda.,před 4 lety,5 hvězdiček,Pálava,Just such a beautiful nature.
807,Přesolená polévka a přesoněné dětské jídlo. Prostředí u nitra hezky personal příjemný. Okolo velmi pěkně.,před 4 lety,3 hvězdičky,Pálava,Sorted soup and moving baby food.Nitra environment nice personal pleasant.Around very nice.
808,"Proč navštívit zámoří - Morava je nádherná, cyklostezky téměř všude. DOPORUČUJI.",před 4 lety,5 hvězdiček,Pálava,"Why visit overseas - Moravia is beautiful, cycle paths almost everywhere.I RECOMMEND."
809,"Tohle je srdeční záležitost, krásná příroda a výborná vina patří ke každoročnímu relaxu.",před 7 lety,5 hvězdiček,Pálava,"This is a heart matter, beautiful nature and excellent guilt is one of the annual relaxation."
810,"Opravdu doporučuji hkes v této chráněné oblasti. Krajiny jsou úchvatné, hrady, údolí a kopce, vápencová krajina. Vinice.zejména doporučuji výšlap z Pavlovic do Mikulova",před 6 lety,5 hvězdiček,Pálava,"I really recommend HKES in this protected area.The landscapes are breathtaking, castles, valleys and hills, limestone landscape.Vineyard."
811,"Krásný výhled, pěkná příjemná procházka v lese. Trať je na vzestupu.",před 4 lety,4 hvězdičky,Pálava,"Beautiful view, nice pleasant walk in the woods.The track is on the rise."
812,Pěkný hotel. I přes parkování pod okny se to dá vydržet. Na pokojích ale nemají klimatizaci.,před 5 lety,4 hvězdičky,Pálava,"Nice hotel.Despite parking under the windows, it can be endured.But they do not have air conditioning in the rooms."
813,"Nesmírně půvabná místa, krásné výhledy a krajiny :) určitě si to za jízdy zaznačte do mapy a projeďte!",před 4 lety,5 hvězdiček,Pálava,"Extremely charming places, beautiful views and landscapes :) Be sure to mark it on the map while driving and go!"
814,za toaletu jste museli zaplatit 40 cen. hrozné... A ceny v obchodě jsou podle mě drahé,před 5 lety,2 hvězdičky,Pálava,You had to pay 40 prices for the toilet.terrible ... and the prices in the store are expensive to me
815,Je to úžasné... Na jednodenní výlet je prostě skvělé mít (z Brna),před 2 lety,5 hvězdiček,Pálava,It's amazing ... for a day trip it's just great to have (from Brno)
